,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Hobart,0,AU,1551301039,82,-42.88,147.33,55.4,5.82
1,Ushuaia,75,AR,1551297600,87,-54.81,-68.31,50.0,28.86
2,Jamestown,0,AU,1551301282,66,-33.21,138.6,64.75,8.75
3,Atuona,32,PF,1551301284,100,-9.8,-139.03,80.68,5.17
4,Qaanaaq,0,GL,1551301285,81,77.48,-69.36,-19.22,2.37
5,Touros,20,BR,1551297600,74,-5.2,-35.46,84.2,9.17
6,Barrow,80,AR,1551301290,75,-38.31,-60.23,61.65,14.34
7,Kendari,56,ID,1551301292,89,-3.99,122.52,74.47,2.37
8,Gornorechenskiy,76,RU,1551301293,76,44.26,135.11,17.95,3.6
9,Mahebourg,75,MU,1551301141,83,-20.41,57.7,81.0,3.36
10,Vanimo,64,PG,1551301298,100,-2.67,141.3,77.49,4.16
11,Corner Brook,90,CA,1551301257,85,48.95,-57.95,21.2,18.34
12,Araouane,36,ML,1551301301,22,18.9,-3.53,63.36,12.88
13,East London,0,ZA,1551301302,100,-33.02,27.91,70.78,15.46
14,Castro,0,CL,1551297600,67,-42.48,-73.76,62.6,6.93
15,Albany,90,US,1551301009,66,42.65,-73.75,18.0,6.93
16,Cape Town,20,ZA,1551301052,68,-33.93,18.42,66.99,6.93
17,Harper,1,US,1551301305,42,30.3,-99.24,82.99,4.94
18,Yellowknife,20,CA,1551301032,55,62.45,-114.38,10.4,12.75
19,Port Alfred,32,ZA,1551301280,83,-33.59,26.89,62.01,3.0
20,Mana,0,RS,1551299400,69,43.52,20.24,35.6,1.12
21,Chisinau,90,MD,1551300612,69,47.01,28.86,37.4,6.93
22,Talnakh,0,RU,1551301319,43,69.49,88.39,-28.18,4.38
23,Labuhan,92,ID,1551301322,94,-2.54,115.51,74.83,1.59
24,Nanortalik,8,GL,1551301324,89,60.14,-45.24,35.28,54.27
25,Busselton,0,AU,1551301231,46,-33.64,115.35,66.99,14.0
26,Ribeira Grande,40,PT,1551299400,93,38.52,-28.7,60.8,9.17
